order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
51,ORD-20240517-00051,298,2024-05-17,pendiente,4824.4,3,210,1013.12,5902.79,debit_card,express,,
52,ORD-20260219-00052,88,2026-02-19,enviado,677.83,3,260,142.34,1059.84,credit_card,express,,
53,ORD-20241216-00053,332,2024-12-16,enviado,2921.3,20,100,613.47,3050.51,paypal,same_day,,
54,ORD-20251107-00054,175,2025-11-07,enviado,2318.49,8,130,486.88,2749.89,bank_transfer,express,,Nota del cliente: Dejar en portería
55,ORD-20250920-00055,132,2025-09-20,procesando,948.3,19,150,199.14,1117.26,debit_card,pickup,,
56,ORD-20230122-00056,231,2023-01-22,pendiente,1361.73,16,170,285.96,1599.81,bank_transfer,pickup,7,
57,ORD-20250724-00057,162,2025-07-24,procesando,5788.29,11,30,1215.54,6397.12,debit_card,standard,,
58,ORD-20240530-00058,77,2024-05-30,enviado,3322.76,10,110,697.78,3798.26,paypal,pickup,10,
59,ORD-20241012-00059,249,2024-10-12,procesando,2154.42,10,430,452.43,2821.41,cash_on_delivery,pickup,,
60,ORD-20230718-00060,275,2023-07-18,enviado,2171.19,1,410,455.95,3015.43,credit_card,standard,9,
61,ORD-20260119-00061,169,2026-01-19,pendiente,1608.72,2,290,337.83,2204.38,credit_card,same_day,1,
62,ORD-20240521-00062,223,2024-05-21,cancelado,4218.66,6,230,885.92,5081.46,credit_card,standard,8,
63,ORD-20230302-00063,37,2023-03-02,enviado,2397.94,4,300,503.57,3105.59,paypal,pickup,,
64,ORD-20230408-00064,32,2023-04-08,pendiente,2164.79,19,60,454.61,2268.09,paypal,standard,,
65,ORD-20260322-00065,15,2026-03-22,cancelado,1651.35,1,120,346.78,2101.62,paypal,same_day,,
66,ORD-20250716-00066,124,2025-07-16,cancelado,3663.33,20,430,769.3,4129.96,debit_card,same_day,,
67,ORD-20250606-00067,92,2025-06-06,entregado,2169.6,7,380,455.62,2853.35,debit_card,standard,7,
68,ORD-20240207-00068,321,2024-02-07,pendiente,1386.38,19,370,291.14,1784.11,credit_card,express,,
69,ORD-20230807-00069,110,2023-08-07,entregado,247.15,2,200,51.9,494.11,debit_card,standard,,
70,ORD-20260206-00070,207,2026-02-06,enviado,603.33,1,240,126.7,964,paypal,pickup,,
71,ORD-20241018-00071,219,2024-10-18,cancelado,1737.4,1,20,364.85,2104.88,cash_on_delivery,standard,,
72,ORD-20230208-00072,272,2023-02-08,pendiente,375.43,16,300,78.84,694.2,bank_transfer,express,,
73,ORD-20250331-00073,2,2025-03-31,enviado,904.46,19,180,189.94,1102.55,bank_transfer,express,,
74,ORD-20231123-00074,241,2023-11-23,pendiente,1449.96,9,410,304.49,2033.95,credit_card,pickup,,
75,ORD-20240622-00075,34,2024-06-22,enviado,181.34,16,170,38.08,360.41,paypal,standard,,
76,ORD-20251201-00076,97,2025-12-01,entregado,2329.09,1,170,489.11,2964.91,credit_card,standard,,
77,ORD-20240109-00077,272,2024-01-09,cancelado,2910.11,2,110,611.12,3573.03,credit_card,pickup,,
78,ORD-20240425-00078,271,2024-04-25,entregado,2794.9,17,170,586.93,3076.7,debit_card,pickup,,
79,ORD-20230316-00079,136,2023-03-16,pendiente,6080.56,11,500,1276.92,7188.62,credit_card,pickup,9,
80,ORD-20260123-00080,309,2026-01-23,pendiente,6808.95,1,420,1429.88,8590.74,bank_transfer,same_day,2,
81,ORD-20230805-00081,240,2023-08-05,procesando,1737.4,13,240,364.85,2116.39,debit_card,pickup,10,
82,ORD-20250127-00082,193,2025-01-27,enviado,3278.91,6,200,688.57,3970.75,debit_card,express,,
83,ORD-20260206-00083,309,2026-02-06,entregado,4519.65,14,260,949.13,5096.03,bank_transfer,same_day,,
84,ORD-20240516-00084,1,2024-05-16,entregado,2404.34,11,40,504.91,2684.77,debit_card,standard,,
85,ORD-20230707-00085,104,2023-07-07,entregado,1288.57,16,400,270.6,1753,cash_on_delivery,same_day,8,
86,ORD-20250120-00086,82,2025-01-20,enviado,945.26,14,430,198.5,1441.42,credit_card,standard,8,
87,ORD-20250827-00087,121,2025-08-27,entregado,2010.9,19,210,422.29,2261.12,debit_card,standard,,
88,ORD-20260212-00088,69,2026-02-12,entregado,886.28,7,410,186.12,1420.36,debit_card,express,,
89,ORD-20240223-00089,309,2024-02-23,enviado,3995.45,6,460,839.04,5054.76,debit_card,express,6,
90,ORD-20231118-00090,206,2023-11-18,pendiente,4551.48,16,140,955.81,4919.05,bank_transfer,same_day,,
91,ORD-20250303-00091,271,2025-03-03,procesando,2250.7,19,410,472.65,2705.72,debit_card,express,,
92,ORD-20250623-00092,206,2025-06-23,procesando,2864.5,15,130,601.55,3166.38,paypal,pickup,,Nota del cliente: Llamar antes
93,ORD-20230916-00093,194,2023-09-16,enviado,4752.74,8,490,998.08,5860.6,cash_on_delivery,pickup,,Nota del cliente: Llamar antes
94,ORD-20250505-00094,188,2025-05-05,pendiente,1952.62,20,310,410.05,2282.15,credit_card,express,,
95,ORD-20230710-00095,150,2023-07-10,enviado,2452.7,11,430,515.07,3127.97,bank_transfer,express,,
96,ORD-20240219-00096,247,2024-02-19,cancelado,7661.91,14,340,1609,8538.24,cash_on_delivery,express,,Nota del cliente: Dejar en portería
97,ORD-20230721-00097,227,2023-07-21,procesando,2877.86,6,430,604.35,3739.54,credit_card,standard,,
98,ORD-20260408-00098,123,2026-04-08,entregado,2481.25,20,240,521.06,2746.06,paypal,express,,
99,ORD-20230413-00099,206,2023-04-13,entregado,1482.19,1,140,311.26,1918.63,cash_on_delivery,express,3,Nota del cliente: Envolver para regalo
100,ORD-20241111-00100,233,2024-11-11,procesando,5075.55,12,0,1065.87,5532.35,cash_on_delivery,same_day,9,Nota del cliente: Envolver para regalo
101,ORD-20231027-00101,284,2023-10-27,entregado,3583.74,13,200,752.59,4070.44,cash_on_delivery,standard,9,Nota del cliente: Dejar en portería
102,ORD-20230809-00102,229,2023-08-09,enviado,132.03,12,40,27.73,183.92,credit_card,pickup,,
103,ORD-20250212-00103,219,2025-02-12,enviado,2160.21,7,50,453.64,2512.64,credit_card,pickup,,
104,ORD-20251010-00104,190,2025-10-10,pendiente,981.92,11,20,206.2,1100.11,credit_card,pickup,8,
105,ORD-20241113-00105,76,2024-11-13,procesando,264.35,13,310,55.51,595.49,cash_on_delivery,standard,7,
106,ORD-20240227-00106,22,2024-02-27,entregado,783.48,1,90,164.53,1030.18,paypal,same_day,,
107,ORD-20240913-00107,27,2024-09-13,enviado,5937.76,5,30,1246.93,6917.8,debit_card,express,,
108,ORD-20250118-00108,234,2025-01-18,procesando,1874.16,12,470,393.57,2512.83,paypal,standard,,Nota del cliente: Envolver para regalo
109,ORD-20250125-00109,236,2025-01-25,procesando,428.65,7,230,90.02,718.66,bank_transfer,standard,,
110,ORD-20230119-00110,244,2023-01-19,entregado,915.72,3,150,192.3,1230.55,cash_on_delivery,standard,,Nota del cliente: Llamar antes
111,ORD-20260224-00111,113,2026-02-24,entregado,2113,2,230,443.73,2744.47,cash_on_delivery,same_day,3,
112,ORD-20230910-00112,174,2023-09-10,enviado,1381.53,9,70,290.12,1617.31,paypal,same_day,,
113,ORD-20230521-00113,62,2023-05-21,entregado,3272.74,8,400,687.28,4098.2,debit_card,pickup,,
114,ORD-20230402-00114,173,2023-04-02,procesando,735.1,12,130,154.37,931.26,credit_card,same_day,10,
115,ORD-20260125-00115,104,2026-01-25,pendiente,327.72,7,490,68.82,863.6,paypal,express,,
116,ORD-20230204-00116,135,2023-02-04,procesando,1547.43,6,230,324.96,2009.54,cash_on_delivery,same_day,,
117,ORD-20230725-00117,327,2023-07-25,pendiente,3436.61,3,390,721.69,4445.2,credit_card,standard,,Nota del cliente: Llamar antes
118,ORD-20230329-00118,261,2023-03-29,pendiente,6198.12,5,300,1301.61,7489.82,cash_on_delivery,same_day,,
119,ORD-20251231-00119,184,2025-12-31,entregado,3100.48,15,270,651.1,3556.51,cash_on_delivery,express,,
120,ORD-20230805-00120,136,2023-08-05,procesando,608.1,5,420,127.7,1125.4,credit_card,pickup,,
121,ORD-20260104-00121,4,2026-01-04,procesando,2748.96,20,460,577.28,3236.45,credit_card,express,,
122,ORD-20241215-00122,62,2024-12-15,entregado,2426.53,20,500,509.57,2950.79,credit_card,express,,
123,ORD-20231005-00123,323,2023-10-05,enviado,982.95,0,330,206.42,1519.37,debit_card,same_day,6,
124,ORD-20240425-00124,71,2024-04-25,cancelado,1579.44,7,280,331.68,2080.56,credit_card,pickup,,
125,ORD-20251109-00125,283,2025-11-09,cancelado,3581.09,4,90,752.03,4279.88,bank_transfer,express,,
126,ORD-20240211-00126,197,2024-02-11,enviado,2747.51,6,130,576.98,3289.64,paypal,same_day,4,Nota del cliente: Envolver para regalo
127,ORD-20240316-00127,333,2024-03-16,procesando,2027,20,280,425.67,2327.27,bank_transfer,express,,
128,ORD-20260517-00128,45,2026-05-17,entregado,3036.15,19,280,637.59,3376.87,debit_card,pickup,7,
129,ORD-20240118-00129,75,2024-01-18,entregado,5107.03,9,150,1072.48,5869.88,debit_card,express,,
130,ORD-20250129-00130,221,2025-01-29,procesando,2933.58,8,300,616.05,3614.94,credit_card,standard,,
131,ORD-20230919-00131,265,2023-09-19,enviado,1933.28,12,160,405.99,2267.28,paypal,same_day,,
132,ORD-20230115-00132,320,2023-01-15,entregado,4819.91,6,180,1012.18,5722.9,bank_transfer,pickup,,Nota del cliente: Llamar antes
133,ORD-20241128-00133,235,2024-11-28,enviado,489.56,6,90,102.81,653,paypal,express,,
134,ORD-20250325-00134,70,2025-03-25,enviado,4988.38,13,130,1047.56,5517.45,credit_card,express,,
135,ORD-20250515-00135,225,2025-05-15,entregado,3438.42,6,130,722.07,4084.18,bank_transfer,pickup,2,
136,ORD-20231231-00136,26,2023-12-31,enviado,474.56,12,170,99.66,687.27,bank_transfer,express,,
137,ORD-20230416-00137,107,2023-04-16,procesando,1985,17,360,416.85,2424.4,credit_card,pickup,5,
138,ORD-20250918-00138,269,2025-09-18,pendiente,3890.15,20,120,816.93,4049.05,bank_transfer,same_day,,
139,ORD-20250529-00139,112,2025-05-29,entregado,2169.6,20,180,455.62,2371.3,bank_transfer,same_day,5,
140,ORD-20230203-00140,319,2023-02-03,pendiente,979.35,8,150,205.66,1256.66,paypal,standard,,
141,ORD-20240603-00141,41,2024-06-03,cancelado,2208.25,9,20,463.73,2493.24,debit_card,express,6,Nota del cliente: Dejar en portería
142,ORD-20250525-00142,166,2025-05-25,enviado,556.55,12,340,116.88,946.64,credit_card,express,,
143,ORD-20250219-00143,23,2025-02-19,enviado,4196.7,7,90,881.31,4874.24,paypal,standard,,
144,ORD-20260512-00144,132,2026-05-12,cancelado,660.7,17,130,138.75,817.13,debit_card,pickup,,
145,ORD-20240509-00145,36,2024-05-09,pendiente,269.38,10,170,56.57,469.01,credit_card,same_day,,Nota del cliente: Llamar antes
146,ORD-20260209-00146,39,2026-02-09,pendiente,355.08,8,220,74.57,621.24,debit_card,pickup,,Nota del cliente: Entregar por la tarde
147,ORD-20241201-00147,150,2024-12-01,cancelado,471.02,3,160,98.91,715.8,credit_card,same_day,,
148,ORD-20230115-00148,19,2023-01-15,entregado,432.51,17,110,90.83,559.81,credit_card,express,,
149,ORD-20240520-00149,132,2024-05-20,cancelado,3531.97,0,330,741.71,4603.68,cash_on_delivery,express,,Nota del cliente: Envolver para regalo
150,ORD-20230517-00150,230,2023-05-17,procesando,1038.4,5,240,218.06,1444.54,credit_card,standard,,
151,ORD-20250911-00151,270,2025-09-11,entregado,4581.59,12,40,962.13,5033.93,bank_transfer,pickup,,
152,ORD-20230215-00152,265,2023-02-15,pendiente,161.23,20,470,33.86,632.84,credit_card,same_day,,
153,ORD-20250626-00153,207,2025-06-26,procesando,2465.97,13,130,517.85,2793.24,debit_card,same_day,,Nota del cliente: Llamar antes
154,ORD-20230704-00154,34,2023-07-04,cancelado,2384.36,3,260,500.72,3073.55,credit_card,express,,
155,ORD-20250205-00155,287,2025-02-05,procesando,3140.52,14,110,659.51,3470.36,paypal,standard,,
156,ORD-20230109-00156,195,2023-01-09,pendiente,1339.08,12,220,281.21,1679.6,credit_card,standard,,
157,ORD-20231219-00157,83,2023-12-19,procesando,1099.6,11,370,230.92,1579.56,credit_card,same_day,,
158,ORD-20240925-00158,207,2024-09-25,pendiente,2416.6,19,250,507.49,2714.94,cash_on_delivery,pickup,,
159,ORD-20260418-00159,18,2026-04-18,procesando,8304.43,18,260,1743.93,8813.56,paypal,standard,,
160,ORD-20240624-00160,15,2024-06-24,pendiente,321.87,2,320,67.59,703.02,credit_card,express,,
161,ORD-20260405-00161,240,2026-04-05,enviado,1582.97,7,100,332.42,1904.58,bank_transfer,same_day,,
162,ORD-20230512-00162,238,2023-05-12,procesando,1365.63,3,410,286.78,2021.44,debit_card,pickup,,
163,ORD-20230719-00163,36,2023-07-19,pendiente,799.9,18,490,167.98,1313.9,cash_on_delivery,pickup,,
164,ORD-20230328-00164,174,2023-03-28,entregado,2261.15,9,200,474.84,2732.49,paypal,express,,
165,ORD-20230914-00165,119,2023-09-14,entregado,507.5,10,460,106.58,1023.33,paypal,standard,,
166,ORD-20231026-00166,139,2023-10-26,entregado,158.61,5,420,33.31,603.99,debit_card,same_day,,
167,ORD-20231213-00167,221,2023-12-13,enviado,857.94,2,390,180.17,1410.95,paypal,express,7,
168,ORD-20231212-00168,262,2023-12-12,enviado,6765.33,12,300,1420.72,7674.21,cash_on_delivery,express,,Nota del cliente: Llamar antes
169,ORD-20240603-00169,66,2024-06-03,pendiente,2653.87,18,500,557.31,3233.48,debit_card,same_day,,
170,ORD-20251205-00170,87,2025-12-05,enviado,462.71,8,20,97.17,542.86,debit_card,pickup,,Nota del cliente: Llamar antes
171,ORD-20240308-00171,177,2024-03-08,procesando,324.21,9,290,68.08,653.11,credit_card,standard,,
172,ORD-20250826-00172,207,2025-08-26,pendiente,2040.62,10,370,428.53,2635.09,cash_on_delivery,same_day,1,
173,ORD-20240403-00173,291,2024-04-03,cancelado,2838.3,1,280,596.04,3685.96,bank_transfer,express,,
174,ORD-20231230-00174,148,2023-12-30,entregado,1056.2,1,60,221.8,1327.44,paypal,express,,
175,ORD-20240217-00175,55,2024-02-17,cancelado,4191.96,10,350,880.31,5003.07,credit_card,standard,6,
176,ORD-20250827-00176,1,2025-08-27,pendiente,2022.6,16,20,424.75,2143.73,bank_transfer,express,,Nota del cliente: Llamar antes
177,ORD-20230401-00177,204,2023-04-01,enviado,1876.74,8,450,394.12,2570.72,paypal,same_day,1,
178,ORD-20230512-00178,99,2023-05-12,cancelado,999.12,7,310,209.82,1449,cash_on_delivery,pickup,,
179,ORD-20240216-00179,34,2024-02-16,entregado,6628.2,17,230,1391.92,7123.33,debit_card,standard,,
180,ORD-20260211-00180,247,2026-02-11,enviado,1790.36,16,230,375.98,2109.88,bank_transfer,express,,
181,ORD-20230831-00181,2,2023-08-31,pendiente,3640.18,5,440,764.44,4662.61,bank_transfer,express,,Nota del cliente: Envolver para regalo
182,ORD-20240822-00182,195,2024-08-22,pendiente,1829.54,3,190,384.2,2348.85,bank_transfer,pickup,,
183,ORD-20230302-00183,186,2023-03-02,procesando,2314.84,17,260,486.12,2667.44,paypal,same_day,,
184,ORD-20260504-00184,238,2026-05-04,pendiente,4377.9,16,380,919.36,4976.8,bank_transfer,same_day,,
185,ORD-20260501-00185,206,2026-05-01,entregado,3537.76,17,470,742.93,4149.27,bank_transfer,standard,5,
186,ORD-20250409-00186,308,2025-04-09,pendiente,4340.34,1,230,911.47,5438.41,cash_on_delivery,express,,
187,ORD-20240229-00187,17,2024-02-29,cancelado,2092.43,16,390,439.41,2587.05,credit_card,standard,,
188,ORD-20230518-00188,11,2023-05-18,pendiente,2188.4,3,150,459.56,2732.31,bank_transfer,same_day,,
189,ORD-20250406-00189,111,2025-04-06,entregado,319.64,14,400,67.12,742.01,debit_card,pickup,,
190,ORD-20230607-00190,66,2023-06-07,pendiente,2286.94,11,350,480.26,2865.64,credit_card,pickup,,
191,ORD-20240510-00191,117,2024-05-10,enviado,3091.17,20,60,649.15,3182.09,cash_on_delivery,same_day,8,Nota del cliente: Dejar en portería
192,ORD-20260423-00192,251,2026-04-23,pendiente,745.65,20,330,156.59,1083.11,cash_on_delivery,express,,
193,ORD-20251013-00193,151,2025-10-13,cancelado,4563.5,20,330,958.34,4939.14,debit_card,express,,Nota del cliente: Dejar en portería
194,ORD-20241114-00194,259,2024-11-14,procesando,49.43,14,500,10.38,552.89,paypal,standard,,
195,ORD-20230808-00195,235,2023-08-08,procesando,2590.6,8,100,544.03,3027.38,cash_on_delivery,pickup,,
196,ORD-20240731-00196,188,2024-07-31,cancelado,4430.46,17,0,930.4,4607.68,cash_on_delivery,express,,
197,ORD-20230202-00197,250,2023-02-02,enviado,3711.84,19,460,779.49,4246.08,paypal,standard,,
198,ORD-20240217-00198,153,2024-02-17,procesando,883.3,4,270,185.49,1303.46,paypal,standard,,Nota del cliente: Envolver para regalo
199,ORD-20260514-00199,166,2026-05-14,procesando,391.44,13,280,82.2,702.75,debit_card,standard,,
200,ORD-20250114-00200,128,2025-01-14,enviado,6124.83,13,190,1286.21,6804.81,credit_card,pickup,,
201,ORD-20260511-00201,102,2026-05-11,procesando,4131.86,14,400,867.69,4821.09,credit_card,pickup,,
202,ORD-20240726-00202,157,2024-07-26,pendiente,1733.87,20,140,364.11,1891.21,paypal,pickup,,
203,ORD-20260305-00203,35,2026-03-05,pendiente,2897.3,19,350,608.43,3305.24,paypal,express,2,
204,ORD-20231006-00204,48,2023-10-06,entregado,1430.35,9,170,300.37,1771.99,paypal,standard,,
205,ORD-20241017-00205,299,2024-10-17,entregado,1696.4,13,350,356.24,2182.11,debit_card,standard,7,
206,ORD-20251103-00206,194,2025-11-03,pendiente,3201.8,11,350,672.38,3871.98,bank_transfer,standard,6,Nota del cliente: Dejar en portería
207,ORD-20250718-00207,121,2025-07-18,enviado,2465.86,15,440,517.83,3053.81,paypal,standard,,
208,ORD-20250922-00208,113,2025-09-22,cancelado,2896.87,4,210,608.34,3599.34,cash_on_delivery,standard,9,
209,ORD-20241120-00209,130,2024-11-20,pendiente,543.48,10,330,114.13,933.26,bank_transfer,same_day,3,
210,ORD-20240121-00210,190,2024-01-21,enviado,2036.34,11,100,427.63,2339.97,paypal,same_day,,
211,ORD-20240207-00211,275,2024-02-07,procesando,872.27,18,460,183.18,1358.44,paypal,pickup,,Nota del cliente: Entregar por la tarde
212,ORD-20260330-00212,207,2026-03-30,procesando,2507.43,8,470,526.56,3303.4,debit_card,standard,3,
213,ORD-20250212-00213,301,2025-02-12,entregado,848.2,3,330,178.12,1330.87,cash_on_delivery,express,9,Nota del cliente: Envolver para regalo
214,ORD-20250505-00214,316,2025-05-05,entregado,2251.16,16,280,472.74,2643.71,debit_card,express,,
215,ORD-20230508-00215,17,2023-05-08,enviado,129.64,1,130,27.22,285.56,credit_card,same_day,,
216,ORD-20250611-00216,162,2025-06-11,pendiente,3545.08,3,210,744.47,4393.2,debit_card,pickup,,
217,ORD-20240217-00217,152,2024-02-17,cancelado,4224.18,10,10,887.08,4698.84,credit_card,standard,,
218,ORD-20260127-00218,220,2026-01-27,enviado,1440.92,6,150,302.59,1807.05,credit_card,standard,,Nota del cliente: Envolver para regalo
219,ORD-20260221-00219,274,2026-02-21,entregado,3949.56,1,320,829.41,5059.47,debit_card,same_day,,
220,ORD-20240624-00220,271,2024-06-24,procesando,1308.72,5,320,274.83,1838.11,cash_on_delivery,same_day,,
221,ORD-20230730-00221,310,2023-07-30,procesando,2239.71,11,100,470.34,2563.68,paypal,same_day,,
222,ORD-20250420-00222,74,2025-04-20,procesando,2677.7,7,430,562.32,3482.58,bank_transfer,same_day,,
223,ORD-20260206-00223,315,2026-02-06,entregado,3659.94,11,40,768.59,4065.94,bank_transfer,pickup,5,
224,ORD-20240504-00224,328,2024-05-04,procesando,5785.96,1,300,1215.05,7243.15,cash_on_delivery,standard,,
225,ORD-20230121-00225,97,2023-01-21,pendiente,7.94,5,260,1.67,269.21,debit_card,express,,
226,ORD-20241224-00226,209,2024-12-24,cancelado,4682.47,17,80,983.32,4949.77,cash_on_delivery,express,,
227,ORD-20260205-00227,279,2026-02-05,entregado,1546.52,7,40,324.77,1803.03,bank_transfer,express,,Nota del cliente: Entregar por la tarde
228,ORD-20251113-00228,274,2025-11-13,cancelado,1735.94,1,90,364.55,2173.13,cash_on_delivery,express,9,
229,ORD-20231129-00229,320,2023-11-29,procesando,1698.3,17,140,356.64,1906.23,debit_card,same_day,,
230,ORD-20251212-00230,74,2025-12-12,pendiente,1146.83,15,470,240.83,1685.64,credit_card,pickup,,Nota del cliente: Envolver para regalo
231,ORD-20230223-00231,183,2023-02-23,enviado,295.67,2,190,62.09,541.85,credit_card,pickup,,
232,ORD-20240712-00232,262,2024-07-12,enviado,1501.72,13,260,315.36,1881.86,paypal,same_day,,
233,ORD-20231121-00233,192,2023-11-21,pendiente,3952.08,18,420,829.94,4490.65,cash_on_delivery,same_day,,
234,ORD-20230227-00234,326,2023-02-27,pendiente,4439.56,5,290,932.31,5439.89,cash_on_delivery,pickup,5,Nota del cliente: Envolver para regalo
235,ORD-20230302-00235,302,2023-03-02,enviado,1842.04,15,190,386.83,2142.56,bank_transfer,standard,,
236,ORD-20230225-00236,26,2023-02-25,entregado,1810.56,6,500,380.22,2582.15,paypal,standard,,
237,ORD-20240929-00237,70,2024-09-29,entregado,4325.38,4,340,908.33,5400.69,debit_card,pickup,6,Nota del cliente: Llamar antes
238,ORD-20230504-00238,58,2023-05-04,entregado,596.94,8,180,125.36,854.54,credit_card,express,,
239,ORD-20250904-00239,172,2025-09-04,enviado,1283.75,12,20,269.59,1419.29,paypal,pickup,,
